1997;325;1997;276
1329;710;1351;692
740;800;747;822
24;1834;48;1814
176;1554;190;1534
375;2;494;2
2;1327;2;1162
1798;795;1829;797
3;1544;3;1520
781;1217;789;1237
180;1681;204;1654
1163;958;1184;976
1040;1645;1073;1633
1504;244;1523;221
768;1744;788;1726
497;588;520;598
880;1536;904;1527
331;847;335;827
598;543;598;520
1882;907;1902;893
1996;1960;1996;1937
163;422;191;422
862;1731;887;1724
706;206;717;174
163;108;167;128
1338;1325;1358;1314
1367;1525;1393;1543
664;1862;692;1847
597;481;602;455
417;126;437;133
334;564;357;546
1487;1027;1513;1016
56;952;77;945
1677;930;1705;910
1196;351;1218;323
1171;958;1192;979
1706;576;1737;554
1466;1781;1476;1744
864;1704;887;1693
1866;175;1891;174
901;723;920;745
1539;842;1560;822
299;1895;321;1888
29;1733;49;1714
662;214;677;236
735;928;744;904
1161;743;1181;723
949;1840;971;1841
29;923;51;914
122;78;143;78
1379;1382;1399;1373
1452;1271;1460;1246
870;1138;889;1114
639;207;662;242
1839;838;1854;816
1448;3;1473;3
1281;374;1298;353
732;938;757;912
559;1396;560;1373
580;493;581;473
682;1809;706;1811
100;1413;117;1393
1031;179;1047;151
1069;122;1081;99
1778;726;1799;720
1069;1682;1089;1702
888;114;898;93
519;782;579;746
1650;600;1686;575
853;363;866;386
1133;125;1150;101
916;625;937;640
877;596;897;613
1187;135;1203;109
745;1759;763;1729
172;1978;195;1954
973;266;994;270
1242;1130;1262;1152
584;489;591;469
438;1768;443;1747
1126;1583;1148;1570
1892;345;1922;320
1585;1067;1608;1057
1710;982;1730;969
1066;288;1090;289
1941;134;1965;132
318;1844;330;1824
1881;357;1902;345
1830;732;1850;720
873;1292;895;1271
235;1424;262;1407
3;784;3;743
349;995;369;988
99;1998;135;1970
105;1048;125;1038
1126;432;1145;408
1705;903;1726;885
137;72;142;92
933;1813;945;1837
792;1800;815;1800
1709;1262;1729;1277
687;1817;710;1794
1997;1545;1997;1505
50;1155;73;1142
1821;1261;1848;1247
1383;776;1406;777
1030;1402;1052;1396
1951;1816;1973;1823
362;866;364;888
177;1677;194;1656
1310;1459;1322;1481
1230;1106;1240;1127
539;450;544;481
1149;203;1162;183
177;814;182;837
27;1173;48;1158
710;682;731;661
484;1499;510;1478
1701;404;1723;388
177;708;180;688
1996;1705;1996;1677
1997;698;1997;677
597;1519;617;1500
654;1404;667;1424
1885;343;1905;328
1436;873;1449;852
1449;468;1452;427
519;1180;542;1203
45;950;77;938
1290;93;1306;70
1863;908;1894;888
602;1724;623;1715
1997;1037;1997;1011
1074;122;1085;102
1896;195;1917;195
1412;742;1440;724
349;863;373;852
447;1957;468;1942
97;605;115;627
59;1115;79;1111
338;118;368;148
1036;180;1051;155
108;2;130;24
648;214;664;238
1997;896;1997;873
1508;3;1531;3
420;1947;444;1934
720;2;751;2
968;1360;980;1385
1997;1835;1997;1812
3;1767;3;1730
1570;990;1590;976
1686;372;1707;351
1224;1111;1235;1133
269;1872;286;1852
1183;2;1204;2
1997;951;1997;909
1045;877;1069;891
260;1059;280;1055
1143;2;1164;2
1731;1596;1751;1616
770;1751;790;1731
926;2;947;2
1418;2;1447;2
489;1782;512;1772
1122;1590;1144;1577
1997;769;1997;749
265;2;296;2
501;767;525;752
1997;1320;1997;1289
1599;973;1623;951
339;2;370;2
2;1507;2;1472
1997;1270;1997;1226
526;2;560;2
802;2;822;2
1997;1876;1997;1851
1857;2;1888;2
