x start;y start;x end;y end
4;1540;4;1092
1086;4;1328;4
1995;602;1995;353
896;794;897;819
1654;597;1682;577
5;700;5;674
1794;1270;1818;1260
1327;165;1348;136
197;1702;218;1681
397;1959;439;1937
462;1789;490;1762
945;964;1026;913
857;1724;878;1710
444;1528;466;1510
1398;1271;1441;1228
927;1310;938;1338
652;1873;679;1861
683;322;707;346
56;1933;71;1912
637;204;653;228
581;1615;592;1593
489;1817;511;1798
453;1923;473;1908
1425;1883;1521;1837
351;1855;367;1834
1319;707;1360;673
804;536;808;565
449;1956;470;1941
242;1487;262;1470
796;1710;817;1696
680;1711;708;1707
1357;1676;1396;1638
1872;191;1897;191
920;1242;922;1265
1829;4;1885;4
956;1770;978;1751
789;1693;814;1678
1597;974;1642;934
640;1819;666;1798
1164;829;1187;813
1778;718;1798;713
828;702;854;724
634;1695;659;1668
1210;280;1222;260
1906;1675;1934;1670
689;1041;701;1063
1347;4;1393;4
1596;630;1632;608
1357;600;1379;578
145;1733;170;1714
967;1830;994;1826
1778;524;1813;499
1870;897;1900;875
582;1888;604;1878
62;1;102;6
413;1981;437;1970
344;823;378;790
746;1180;750;1157
1881;346;1908;324
514;1526;533;1505
598;1627;624;1619
1172;1973;1220;1986
211;4;267;4
550;1913;571;1895
606;200;627;209
1721;553;1742;536
1283;1054;1332;1054
812;1679;833;1660
1973;1930;1995;1931
1995;1634;1995;1606
765;1711;788;1719
987;929;1026;905
1793;4;1821;4
889;849;901;877
1994;1982;1995;1918
767;1699;778;1719
1545;292;1568;262
818;653;822;682
1647;880;1671;861
476;436;491;461
655;1660;679;1647
776;1746;805;1717
1172;112;1193;104
1223;313;1250;275
615;244;635;255
1966;655;1996;628
1447;1353;1473;1339
179;1817;187;1797
1291;93;1303;73
1821;1260;1845;1250
203;1666;210;1642
492;1881;518;1877
1042;50;1060;30
532;156;554;171
1565;935;1580;915
177;1553;197;1527
1316;1456;1329;1484
1212;1719;1220;1744
1064;1605;1092;1588
141;1145;173;1130
593;1414;600;1394
980;294;1000;295
268;1024;291;1019
95;1767;121;1746
1763;1281;1788;1275
1303;1793;1354;1757
959;817;989;842
919;1769;941;1755
749;4;805;4
558;4;614;4
1893;345;1915;327
623;116;647;92
1181;329;1193;308
1195;863;1231;855
1322;1773;1360;1745
1870;200;1906;197
4;964;5;1032
77;1934;95;1893
515;1531;550;1503
54;1087;93;1082
1348;777;1371;766
632;1898;653;1888
938;791;945;814
391;1034;402;1054
774;1715;798;1696
1684;935;1713;911
474;1969;480;1947
936;1806;956;1807
1596;520;1625;486
1876;1919;1907;1889
354;1876;376;1872
1186;362;1215;327
1414;604;1435;584
1410;1274;1429;1254
783;422;792;456
780;599;787;575
983;5;1034;4
1784;289;1802;268
1713;572;1749;544
1709;902;1739;872
1168;859;1195;844
1596;942;1623;934
1944;1120;1970;1104
191;1603;213;1584
1198;304;1210;284
1811;870;1833;848
1412;1258;1433;1237
891;1059;891;1081
1935;1133;1966;1117
1275;1984;1309;1973
15;1527;37;1527
292;1820;315;1795
1787;519;1815;498
1510;1302;1534;1293
358;1321;383;1339
141;660;142;633
81;1705;91;1683
163;1086;203;1084
491;1557;516;1540
1684;1271;1705;1255
1267;816;1319;793
699;1645;726;1654
1343;1258;1362;1232
570;191;596;208
1835;843;1863;807
1995;1221;1995;1186
630;421;650;413
1203;112;1225;96
1937;391;1958;378
1858;705;1878;700
1277;1507;1292;1527
1224;643;1255;637
4;312;4;367
282;1054;311;1051
1655;943;1703;911
269;1032;298;1027
524;1891;552;1872
506;1906;530;1903
502;1961;531;1943
435;4;491;4
1470;495;1490;475
793;1779;829;1741
1995;1691;1995;1635
1105;870;1125;860
1136;1625;1162;1631
1581;278;1602;258
1995;945;1995;917
342;1836;351;1816
4;1879;4;1824
1829;1171;1853;1161
308;4;353;4
1924;1140;1956;1123
607;239;630;262
1871;709;1891;704
392;912;411;935
1511;1402;1536;1407
1292;206;1307;184
1994;1009;1995;952
47;1932;64;1911
1090;89;1116;63
485;119;501;147
1237;1837;1265;1815
567;237;588;244
4;202;4;238
299;1451;320;1458
1967;1889;1987;1890
1030;187;1052;157
1016;82;1036;60
946;812;965;832
1994;1087;1995;1054
746;1719;771;1695
1607;198;1627;171
4;673;5;610
581;1295;608;1315
638;120;668;121
4;944;4;888
834;1696;855;1685
666;938;698;961
612;587;612;564
510;1528;530;1532
759;1763;789;1732
753;1747;773;1734
827;4;865;5
590;1652;614;1639
540;1899;564;1881
1930;1128;1957;1111
86;18;111;30
4;816;4;863
872;747;897;768
1803;711;1827;698
153;925;177;914
381;4;412;4
1284;1504;1304;1526
1348;1523;1368;1532
841;1011;889;991
453;1819;475;1799
514;1524;520;1545
1995;1587;1995;1556
1941;681;1957;660
176;1127;207;1089
197;1681;205;1661
873;5;937;4
1183;1381;1192;1402
4;1954;4;1927
432;1624;456;1603
492;1907;523;1891
1061;140;1077;120
1747;752;1768;731
1813;480;1838;465
4;1065;5;1097
1639;885;1660;869
617;217;633;239
1388;1281;1407;1260
1165;1931;1195;1935
1823;1260;1844;1251
1390;988;1398;968
1941;4;1997;4
178;666;179;646
23;1176;45;1161
1407;4;1463;4
4;1684;4;1713
164;1679;188;1657
1690;911;1710;900
1276;1957;1305;1937
1865;1922;1892;1893
105;1186;105;1161
1529;710;1562;689
1765;175;1786;174
469;631;483;651
137;1145;160;1135
530;145;553;145
1995;809;1995;854
1317;1906;1326;1940
4;281;4;311
1395;1869;1417;1878
947;1345;969;1361
781;414;787;435
1753;534;1773;515
131;4;179;3
1000;648;1012;625
1066;26;1085;5
1049;880;1070;891
1027;913;1061;905
1209;1443;1237;1473
1118;1639;1154;1643
355;814;379;790
528;1920;555;1897
212;1505;234;1489
825;304;842;324
490;1549;514;1535
505;1804;523;1779
664;1862;688;1849
273;1017;294;1008
402;1947;437;1931
1441;1358;1474;1339
913;1870;935;1878
1483;5;1532;4
705;1874;727;1871
1775;183;1801;181
182;744;206;724
581;1665;619;1645
111;5;134;26
1444;1866;1476;1850
1670;4;1724;4
1426;1041;1448;1038
511;1807;529;1786
1223;836;1263;817
375;942;390;965
601;1910;628;1904
156;36;180;16
831;235;858;232
1008;846;1029;867
981;121;1003;94
1995;1039;1995;1012
941;967;1006;926
502;4;555;4
1076;1599;1104;1581
1484;1010;1506;999
1342;1733;1352;1753
68;1084;89;1081
1691;930;1713;912
798;1763;825;1737
1995;884;1995;856
804;352;827;329
1187;134;1204;110
1959;1120;1985;1110
1377;1874;1399;1879
429;1942;451;1929
1995;1813;1995;1842
