x1;y1;x2;y2
499;817;524;803
969;1714;983;1747
1480;520;1504;531
431;984;463;981
7;1605;36;1593
933;781;957;774
717;696;762;732
1565;1812;1593;1840
1805;1867;1812;1889
565;1356;589;1329
542;323;544;347
900;834;929;863
1531;1541;1533;1561
1845;1287;1864;1307
800;1155;811;1131
708;1796;711;1772
692;840;712;855
1426;1168;1459;1156
1383;227;1404;209
1570;1310;1587;1333
735;982;748;960
1089;428;1111;406
1998;1041;1998;954
325;826;359;827
1545;1305;1568;1292
398;324;418;346
861;316;879;285
1355;1462;1375;1463
1653;1836;1654;1856
1727;351;1752;326
1326;1033;1353;1049
1333;597;1360;570
535;408;567;431
1596;559;1606;524
642;740;666;740
133;2;180;23
1478;1369;1486;1389
858;309;876;274
1432;755;1434;775
280;425;281;401
1554;1924;1558;1890
753;1369;783;1338
747;236;755;214
1726;1502;1752;1523
1630;636;1670;604
481;1174;488;1150
303;1273;316;1252
892;1387;904;1367
700;1616;715;1642
156;1899;176;1875
1019;82;1026;55
320;494;347;520
1149;1529;1177;1543
411;1610;434;1588
614;571;636;583
1175;940;1203;921
1573;481;1575;506
771;1035;795;1063
268;1849;286;1829
1510;444;1547;423
1296;1100;1320;1131
1525;657;1539;627
948;1414;971;1386
1234;1096;1252;1122
1111;123;1119;147
680;543;706;540
475;1604;495;1591
853;1276;860;1255
724;775;744;763
1561;1481;1590;1512
1788;1372;1801;1412
1391;1546;1414;1566
510;1419;532;1396
942;1738;952;1712
1833;663;1855;671
118;1287;121;1267
595;1082;614;1053
137;1209;157;1197
1576;739;1605;727
248;479;252;455
378;104;398;124
665;1746;668;1767
143;1015;163;1023
399;1192;399;1172
737;1114;743;1094
112;229;138;246
1203;65;1214;38
1025;354;1036;381
1697;36;1713;16
690;1531;711;1519
908;1470;931;1452
511;114;534;123
1055;1796;1086;1794
291;439;295;465
1133;1378;1159;1398
87;1678;109;1656
379;267;416;276
1000;1839;1014;1864
1689;1082;1709;1093
1580;1253;1601;1286
1296;339;1342;298
513;1105;538;1100
749;750;777;731
789;1025;817;997
1475;554;1499;555
839;989;864;967
281;1444;300;1420
1377;815;1407;786
747;267;780;300
594;356;604;319
770;1504;790;1508
101;190;130;191
522;380;523;400
1560;772;1588;754
1503;151;1527;133
1318;888;1353;865
484;891;494;869
1218;892;1233;917
700;1638;729;1601
1018;302;1042;293
1168;1524;1179;1500
478;754;502;742
853;1202;876;1187
749;924;772;945
19;329;47;331
358;1386;361;1361
363;597;370;624
230;1582;252;1568
1976;1960;1998;1981
37;927;75;902
1827;73;1838;53
993;1659;1036;1616
923;578;943;559
1717;1377;1737;1391
1258;1752;1264;1729
534;1372;555;1351
161;1530;182;1504
1886;929;1906;929
522;854;538;827
745;733;776;745
1130;665;1151;646
1715;1472;1741;1486
1768;1798;1796;1801
518;990;522;969
1660;318;1668;294
814;255;834;271
1396;77;1417;65
602;1009;618;1030
226;978;253;993
1138;260;1153;237
503;1566;509;1589
1509;965;1530;952
986;1622;1012;1628
63;861;85;848
1356;1487;1385;1519
498;988;520;974
1321;1101;1332;1129
553;1440;569;1415
534;1022;536;1002
862;894;886;918
812;919;832;928
1654;911;1675;910
678;1322;706;1288
407;1408;415;1387
824;814;838;790
982;874;1005;850
116;1042;139;1033
1547;1375;1566;1396
1102;377;1132;366
1595;536;1596;557
988;1622;1012;1622
1443;946;1460;966
681;1236;689;1209
1947;768;1970;777
750;977;777;929
1168;329;1188;301
306;671;330;666
1708;91;1728;69
324;1127;331;1098
219;1234;240;1234
971;156;1004;186
642;1003;654;1026
1942;478;1965;459
297;1094;305;1123
735;848;755;845
1216;120;1229;148
193;1;213;12
910;1819;930;1818
1335;340;1345;362
289;1090;317;1074
1364;553;1374;575
1471;358;1489;338
1759;34;1790;1
1085;678;1101;650
208;1533;219;1511
1488;392;1510;378
877;229;891;249
513;1392;539;1402
2;701;23;719
1942;617;1949;593
396;115;439;152
795;1070;834;1031
321;1003;346;995
1211;995;1217;973
1577;1745;1604;1744
1186;690;1213;663
101;748;121;739
1405;879;1423;902
1737;1877;1758;1887
1670;402;1692;379
1904;811;1932;823
915;295;924;275
680;1088;690;1062
1052;881;1073;861
948;335;967;304
983;1534;1006;1541
744;480;759;501
1401;577;1422;574
1561;1998;1564;1960
1520;1494;1523;1471
360;1015;364;1036
1727;873;1759;875
1300;353;1312;382
259;1782;280;1771
1319;1504;1341;1495
505;1822;528;1790
457;1629;489;1612
23;1015;48;1025
1284;1720;1307;1726
614;613;645;644
1390;905;1414;918
856;749;864;728
78;1178;84;1153
345;954;349;980
1153;328;1181;295
1414;993;1449;1023
1771;586;1792;562
645;1004;666;1022
100;320;117;343
1586;1628;1610;1631
649;765;670;779
1534;1163;1554;1183
1851;434;1872;423
710;1016;749;984
539;1379;549;1404
1325;1649;1346;1643
192;479;197;502
220;1033;262;1019
891;1236;912;1225
1172;890;1216;920
703;904;727;880
876;739;889;707
1387;332;1410;311
1033;1776;1059;1750
843;424;850;403
186;735;215;708
732;1472;754;1452
70;676;94;700
1315;1635;1317;1609
1582;1816;1587;1787
1722;517;1752;483
